- - wiyaw	 NDI-1	 body; his/her body	 {w-} + -iyaw-
- okanawâpokêw	 NA-2	 house-sitter; one who watches the camp	 /o-/ + kanawâpokê- + /-w/
- okanawêwitipiskwêw	 NA-2	 night watchman	 /o-/ + kanawêwitipiskwê- + /-w/
- okanawêyihcikêw	 NA-2	 guard; caretaker; resource officer	 /o-/ + kanawêyihcikê- + /-w/
- okanawêyimatihkowêw	 NA-2	 shepherd	 /o-/ + kanawêyimatihkowê- + /-w/
- okanawêyimostosowêw	 NA-2	 cattle herder	 /o-/ + kanawêyimostosowê- + /-w/
- okanawêyimâwasow	 NA-2	 babysitter	 /o-/ + kanawêyimâwaso- + /-w/
- okanawêyimâyatihkwêw	 NA-2	 shepherd	 /o-/ + kanawêyimâyatihkwê- + /-w/
- okanawêyiskwâhtêmiwêw	 NA-2	 doorkeeper; goaltender, goalkeeper	 /o-/ + kanawêyiskwâhtêmiwê- + /-w/
- okaskikwâcikêw	 NA-2	 seamstress; tailor	 /o-/ + kaskikwâcikê- + /-w/
- okawikîhkâw	 NA-2	 extremely old person	 /o-/ + kawikîhkâ- + /-w/
- okihtimiskiw	 NA-2	 one who is lazy, one who makes no effort to survive	 /o-/ + kihtimiski- + /-w/
- okihtimiw	 NA-2	 lazy person, one who is lazy	 /o-/ + kihtimi- + /-w/
- okimotiskiw	 NA-2	 thief, kleptomaniac	 /o-/ + kimotiski- + /-w/
- okimotiw	 NA-2	 thief	 /o-/ + kimoti- + /-w/
- okinwâpêkikwayaw	 NA-2	 Longneck, personal and family name from Muskeg Lake Cree Nation	 /o-/ + kinwâpêkikwayaw-
- okipahowêsiw	 NA-2	 policeman; prison guard	 /o-/ + kipahowêsi- + /-w/
- okipahowêw	 NA-2	 jailer, prison guard; goalie, goalkeeper, goaltender	 /o-/ + kipahowê- + /-w/
- okiskinohtahiwêw	 NA-2	 leader, guide	 /o-/ + kiskinohtahiwê- + /-w/
- okiskinwahamawâkan	 NA-1	 student, one who is taught	 /o-/ + kiskinwahamawâkan-
- okiskinwahamâkan	 NA-1	 student, scholar; one being taught	 /o-/ + kiskinwahamâkan-
- okiskinwahamâkêw	 NA-2	 teacher, instructor	 /o-/ + kiskinwahamâkê- + /-w/
- okiskiwêhikêw	 NA-2	 prophet ;; traffic controller	 /o-/ + kiskiwêhikê- + /-w/
- okispêwêw	 NA-2	 defender, one who defends and takes part	 /o-/ + kispêwê- + /-w/
- okistikêw	 NA-2	 farmer	 /o-/ + kistikê- + /-w/
- okisêwâtis	 NA-1	 kind person	 /o-/ + kisêwâtisi- - [-i]
- okisêwâtisiw	 NA-2	 kind person	 /o-/ + kisêwâtisi- + /-w/
- okisîpêkihtakinikêw	 NA-2	 floorwasher, janitor	 /o-/ + kisîpêkihtakinikê- + /-w/
- okisîpêkinikêw	 NA-2	 laundry person	 /o-/ + kisîpêkinikê- + /-w/
- okitahamâkêw	 NI-2	 one who forbids	 /o-/ + kitahamâkê- + /-w/
- okitimâkinâkêw	 NA-2	 sympathizer	 /o-/ + kitimâkinâkê- + /-w/
- okitimâkis	 NA-1	 poor person, materially or mentally challenged; [plural:] the poor	 /o-/ + kitimâkisi- - [-i]
- okitimâkisiw	 NA-2	 person in need, one who is poor	 /o-/ + kitimâkisi- + /-w/
- okitohcikêw	 NA-2	 musician; [pl:] orchestra	 /o-/ + kitohcikê- + /-w/
- okiyokêw	 NA-2	 visitor	 /o-/ + kiyokê- + /-w/
- okiyôtêw	 NA-2	 visitor from a great distance	 /o-/ + kiyôtê- + /-w/
- okosisimâw	 NA-2	 son	 /o-/ + -kosis- + /-imâw/
- okoskohiwêw	 NA-2	 startler, one who startles others; name for prairie chicken in âtayôhkâna (legends)	 /o-/ + koskohiwê- + /-w/
- okosâpahcikêw	 NA-2	 foreteller; one who communicates with the spirits	 /o-/ + kosâpahcikê- + /-w/
- okwâskwêpicikanêyâpiy	 NI-2	 angling line, fishing line	 /o-/ + kwâskwêpicikanêyâpiy-
- okwâskwêpicikêw	 NA-2	 angler, fisherman, one who fishes with hook and line	 /o-/ + kwâskwêpicikê- + /-w/
- okâhkâkîcihiwêw	 NA-2	 one who consoles others, a thoughtful person	 /o-/ + kâhkâkîcihiwê- + /-w/
- okâsakêw	 NA-2	 glutton, one who eats a lot	 /o-/ + kâsakê- + /-w/
- okâskipâsowêw	 NA-2	 barber; one who uses a razor	 /o-/ + kâskipâsowê- + /-w/
- okâwîmâw	 NA-2	 mother	 {o-} + -kâwiy- + /-imâw/
- okîhikosimow	 NA-2	 faster, one who fasts	 /o-/ + kîhikosimo- + /-w/
- okîhkwahâhkêw	 NA-2	 wolverine	 /o-/ + kîhkwahâhkêw-
- okîmâpahkêw	 NA-2	 peeping tom; spy	 /o-/ + kîmâpahkê- + /-w/
- okîmôtâpahkêw	 NA-2	 peeping tom; spy	 /o-/ + kîmôtâpahkê- + /-w/
- okînipocikêw	 NA-2	 filer; one who files saws	 /o-/ + kînipocikê- + /-w/
- okîsikow	 NA-2	 angel	 /o-/ + kîsiko- + /-w/
- okîskwêpêsk	 NA-1	 habitual drunkard, alcoholic	 /o-/ + kîskwêpêski- - [-i]
- okîskwêpêw	 NA-2	 drunkard	 /o-/ + kîskwêpê- + /-w/
- okîskwêw	 NA-2	 madman, insane person	 /o-/ + kîskwê- + /-w/
- okîskwêyâtis	 NA-1	 mentally ill person	 /o-/ + kîskwêyâtisi- - [-i]
- omacihtiw	 NA-2	 sinner	 /o-/ + macihti- + /-w/
- omacâtis	 NA-1	 wicked person; nasty, miserable person	 /o-/ + macâtisi- - [i]
- omanaskosîwâkan	 NI-1	 mower (for cutting hay); mowing machine	 /o-/ + manaskosîwâkan-
- omanaskosîwêw	 NA-2	 one who mows; mower	 /o-/ + manaskosîwê- + /-w/
- omanisikêw	 NA-2	 swather, reaper, one who swathes or reaps	 /o-/ + manisikê- + /-w/
- omanitôwiw	 NA-2	 person with supernatural power	 /o-/ + manitôwi- + /-w/
- omasinahikêw	 NA-2	 writer	 /o-/ + masinahikê- + /-w/
- omaskahtwêsk	 NA-1	 purse snatcher; mugger; one who steals another-s partner, wife or husband	 /o-/ + maskahtwêski- - [i]
- omaskisinihkêw	 NA-2	 shoemaker	 /o-/ + maskisinihkê- + /-w/
- omaskosîhkêw	 NA-2	 hay maker	 /o-/ + maskosîhkê- + /-w/
- omawimostamâkêw	 NA-2	 participant in ceremonial rite; petitioner	 /o-/ + mawimostamâkê- + /-w/
- omawisow	 NA-2	 berry-picker	 /o-/ + mawiso- + /-w/
- omihtawêw	 NA-2	 sulker, one who sulks, pouts, expresses regret	 /o-/ + mihtawê- + /-w/
- omikosiskâcihiwêw	 NA-2	 teaser, annoyer; one who teases	 /o-/ + mikosiskâcihiwê- + /-w/
- omisimâw	 NA-2	 eldest sister, oldest sister	 /o-/ + -mis- + /-imâw/
- omosômimâw	 NA-2	 grandfather	 /o-/ + -mosôm- + /-imâw/
- omâcîw	 NA-2	 hunter	 /o-/ + mâcî- + /-w/
- omâham	 NA-3	 voyageur, one who canoes downriver	 /o-/ + mâh- + /-amw/
- omâhamow	 NA-2	 voyageur, boatman, one who goes downriver	 /o-/ + mâhamo- + /-w/
- omâmihkwêw	 NA-2	 Stoney, Assiniboine, Nakota woman	 /o-/ + mâmihkwêw-
- omâwacihcikêw	 NA-2	 collector	 /o-/ + mâwacihcikê- + /-w/
- omâwatinikêw	 NA-2	 collector, one who gathers a collection	 /o-/ + mâwatinikê- + /-w/
- omîcaskosîs	 NA-1	 swallow (bird)	 /o-/ + mîcaskosîs-
- omîhkawikîw	 NA-2	 sprinter, fast runner	 /o-/ + mîhkawikî- + /-w/
- omîkiwahpihkêw	 NA-2	 one who sews tipis, one who makes tipis	 /o-/ + mîkiwahpihkê- + /-w/
- omôhkocikêw	 NA-2	 one who planes	 /o-/ + môhkocikê- + /-w/
- omônisôniyâwêw	 NA-2	 prospector	 /o-/ + mônisôniyâwê- + /-w/
- omôsâhkinikêw	 NA-2	 collector	 /o-/ + môsâhkinikê- + /-w/
- onanâtawihiwêw	 NA-2	 doctor, healer	 /o-/ + nanâtawihiwê- + /-w/
- onaskwahamâkêw	 NA-2	 back-up singer	 /o-/ + naskwahamâkê- + /-w/
- onikamow	 NA-2	 singer	 /o-/ + nikamo- + /-w/
- onikohtêw	 NA-2	 woodcutter	 /o-/ + nikohtê- + /-w/
- onipahiwêw	 NA-2	 murderer	 /o-/ + nipahiwê- + /-w/
- onipahtâkêw	 NA-2	 killer, murderer; executioner	 /o-/ + nipahtâkê- + /-w/
- onipiw	 NA-2	 dead person	 /o-/ + nipi- + /-w/
- onitopayiw	 NA-2	 warrior, person on warpath	 /o-/ + nitopayi- + /-w/
- onâpêhkâsow	 NA-2	 brave man ;; one who pretends to be brave, one who puts up a front	 /o-/ + nâpêhkâso- + /-w/
- onâpêmimâw	 NA-2	 husband	 /o-/ + -nâpêm- + /-imâw/
- onâtamâkêw	 NA-2	 defender (interceding for s.o.); mediator	 /o-/ + nâtamâkê- + /-w/
- onâtawihiwêw	 NA-2	 doctor, healer	 /o-/ + nâtawihiwê- + /-w/
- onîkihikomâw	 NA-2	 parent	 /o-/ + -nîkihikw- + /-imâw/
- onîkâniskât	 NI-1	 front leg	 /o-/ + /nîkân-/ + -skât-
- onîkânohtêw	 NA-2	 leader, one who walks at the head of a group	 /o-/ + nîkânohtê- + /-w/
- onîkânîw	 NA-2	 headman, leader	 /o-/ + nîkânî- + /-w/
- onîmihitow	 NA-2	 dancer	 /o-/ + nîmihito- + /-w/
- onôcihcikêw	 NA-2	 trapper; hunter	 /o-/ + nôcihcikê- + /-w/
- onôcikinosêwêw	 NA-2	 fisherman	 /o-/ + nôcikinosêwê- + /-w/
- onôcikinêpikwêsiw	 NA-2	 snake hawk	 /o-/ + nôcikinêpikwê- + /-isiw/
- onôtinikêsk	 NA-1	 fighter; boxer	 /o-/ + nôtinikêski- - [i]
- onôtinikêskiw	 NA-2	 fighting man	 /o-/ + nôtinikêski- + /-w/
- onôtinikêw	 NA-2	 warrior; [plural:] army	 /o-/ + nôtinikê- + /-w/
- onôtâposwêw	 NA-2	 rabbit hunter	 /o-/ + nôtâposwê- + /-w/
- opahkwêsikanihkêw	 NA-2	 baker	 /o-/ + pahkwêsikanihkê- + /-w/
- opahkêkinohkêw	 NA-2	 tanner, processor of hides	 /o-/ + pahkêkinohkê- + /-w/
- opakatinikêw	 NA-2	 one who plants grain, a garden	 /o-/ + pakatinikê- + /-w/
- opakitahwâw	 NA-2	 fisherman (using nets)	 /o-/ + pakitahwâ- + /-w/
- opakosihtâsk	 NA-1	 beggar	 /o-/ + pakosihtâski- - [i]
- opamihiwêw	 NA-2	 servant; attendant	 /o-/ + pamihiwê- + /-w/
- opaminikêw	 NA-2	 governess; steward; boss, leader; administrator	 /o-/ + paminikê- + /-w/
- opapâmohtêw	 NA-2	 wanderer; prostitute	 /o-/ + papâmohtê- + /-w/
- opapâsîw	 NA-2	 speedy person, person who does things quickly	 /o-/ + papâsî- + /-w/
- opasastêhiwêw	 NA-2	 one who whips others	 /o-/ + pasastêhiwê- + /-w/
- opaskosowêw	 NA-2	 barber	 /o-/ + paskosowê- + /-w/
- opaskostikwânêw	 NA-2	 bald person	 /o-/ + paskostikwânê- + /-w/
- opawahikêw	 NA-2	 thresher, one who threshes grain, one who combines	 /o-/ + pawahikê- + /-w/
- opiminawasow	 NA-2	 chef; cook	 /o-/ + piminawaso- + /-w/
- opimipiciw	 NA-2	 traveller; nomad	 /o-/ + pimipici- + /-w/
- opimohtahiwêw	 NA-2	 bus driver; transporter	 /o-/ + pimohtahiwê- + /-w/
- opimotahkwêw	 NA-2	 archer, one who shoots with bow and arrows	 /o-/ + pimotahkwê- + /-w/
- opimâcihiwêw	 NA-2	 saviour	 /o-/ + pimâcihiwê- + /-w/
- opwâm	 NI-1	 thigh of meat; ham; his/her thigh	 {o-} + -pwâm-
- opwêyakatowêw	 NA-2	 one who peels and gnaws (e.g. a beaver)	 /o-/ + pwêyakatowê- + /-w/
- opwêyakatâmêw	 NI-2	 tree felled by a beaver	 /o-/ + pwêyakatâmê- + /-w/
- opâstâmow	 NA-2	 slanderer; blasphemer; one who brings curses upon him/herself through improper speech or action	 /o-/ + pâstâmo- + /-w/
- opîkopicikêw	 NA-2	 one who ploughs	 /o-/ + pîkopicikê- + /-w/
- opîtatowêw	 NA-2	 Ukrainian; European	 /o-/ + pîtatowê- + /-w/
- opîwayakohp	 NI-1	 feather or down quilt	 /o-/ + pîway- + akohp-
- opôtâcikêw	 NA-2	 trumpeter; flutist	 /o-/ + pôtâcikê- + /-w/
- osaskamow	 NA-2	 one who receives sacrament or communion	 /o-/ + saskamo- + /-w/
- osaskamowin	 NI-1	 sacrament, communion	 /o-/ + saskamo- + /-win/
- oscikwânis	 NA-1	 "little head", "small head"; used as a female personal name	 {o-} + -scikwânis-
- osikosimâw	 NA-2	 mother-in-law; paternal aunt, wife of maternal uncle	 {o-} + -sikos- + /-imâw/
- osisimâw	 NA-2	 father-in-law; maternal uncle, husband of paternal aunt	 /o-/ + -sis- + /-imâw/
- oskan	 NI-1	 bone; his/her bone	 {o-} + -skan-
- ostimimâw	 NA-2	 daughter-in-law; niece	 /o-/ + -stim- + /-imâw/
- ostêsimâw	 NA-2	 oldest brother, eldest brohter, firstborn male	 /o-/ + -stês- + /-imâw/
- osâkohcihiwêw	 NA-2	 victor; one who wins	 /o-/ + sâkohcihiwê- + /-w/
- osâkotêhêw	 NA-2	 coward; timid person	 /o-/ + sâkotêhê- + /-w/
- osêskicês	 NI-1	 roach (traditional men's pow-wow headdress made of porcupine quills)	 {o-} + sêskicês-
- osîkinikêw	 NA-2	 bartender	 /o-/ + sîkinikê- + /-w/
- osîmimâw	 NA-2	 youngest sibling, youngest brother or sister	 /o-/ + -sîm- + /-imâw/
- osîmisimâw	 NA-2	 younger sibling	 /o-/ + -sîmis- + /-imâw/
- otahkonâwasow	 NA-2	 one who carries a child; a nursing mother	 /o-/ + tahkonâwaso- + /-w/
- otahtahkwan	 NDI-1	 his/her wing	 {o-} + -tahtahkwan-
- otapâhtêyimow	 NA-2	 meek, humble person	 /o-/ + tapâhtêyimo- + /-w/
- otasihkêw	 NA-2	 resident	 /o-/ + tasihkê- + /-w/
- otihkwatimimâw	 NA-2	 nephew; son-in-law	 /o-/ + -tihkwatim- + /-imâw/
- otipahaskêw	 NA-2	 surveyor	 /o-/ + tipahaskê- + /-w/
- otipêyihcikêw	 NA-2	 owner; manager; lord	 /o-/ + tipêyihcikê- + /-w/
- otipêyimisow	 NA-2	 independent person; free person	 /o-/ + tipêyimiso- + /-w/
- otâpwêhtam	 NA-3	 believer	 /o-/ + tâpwêht- + {-amw}
- otêhtapiw	 NA-2	 rider, horseman	 /o-/ + têhtapi- + /-w/
- otêpwêstamâkêw	 NA-2	 herald, announcer	 /o-/ + têpwêstamâkê- + /-w/
- otôsimimâw	 NA-2	 nephew; a man's brother's son or woman's sister's son	 /o-/ + -tôsim- + /-imâw/
- otôtêmimâw	 NA-2	 friend	 /o-/ + -tôtêm- + /-imâw/
- owanihikêw	 NA-2	 trapper	 /o-/ + wanihikê- + /-w/
- owaninêw	 NA-2	 crazy person	 /o-/ + waninê- + /-w/
- owiyasiwêw	 NA-2	 judge; lawyer	 /o-/ + wiyasiwê- + /-w/
- owâskahikanihkêw	 NA-2	 house-builder	 /o-/ + wâskahikanihkê- + /-w/
- owâspisonihkêw	 NA-2	 moss-bag maker	 /o-/ + wâspisonihkê- + /-w/
- owîhkohkêw	 NA-2	 one who makes a feast	 /o-/ + wîhkohkê- + /-w/
- owîkihtow	 NA-2	 bridegroom; bride	 /o-/ + wîkihto- + /-w/
- wiyihkosa	 NDA-1	 his/her glands	 {w-} + -iyihkos- {-a}
- wîni	 NDI-4	 bone-marrow; his/her bone-marrow	 {w-} + -în- + {-i}
câpân!	 NDA-1	 Great-Grandparent!; Great-Grandchild!	
kôkom!	 NDA-1	 Grandma!	
môsom!	 NDA-1	 Grandpa!	
niciwâ!	 NDA-1	 brother!; male parallel cousin!; friend!; rival!	 {ni-} + -ciwâ(m)-
nicâhkosê!	 NDA-1	 female cross-cousin!; sister-in-law! [used by female speaker only]	 {ni-} + -câhkos- + {-ê}
nikosê!	 NDA-1	 son!	 {ni-} + /-kos-/ + {-ê}
nikwêmê!	 NDA-1	 namesake! [kinship term: addressing one whom you are named after, one who is named after you, or simply one who shares the same name]	 {ni-} + /-kwêm-/ + {-ê}
nikâ!	 NDA-2	 mother!	 {ni-} + /-kâ/
- nimistikom	 NDI-1	 my cane, my stick ;; [slang:] my penis	 {ni-} + -mistikom-
nimisê!	 NDA-1	 older sister!	 {ni-} + -mis- + {-ê}
nimosô!	 NDA-1	 grandfather!	 {ni-} + /-mosôm-/ - [m]
- nimwâhkohkêw	 NDI-2	 my arm muscle, my biceps	 {ni-} + -mwâhkohkêw-
- ninipîm	 NDI-1	 my amniotic fluid ;; my urine ;; my water, my glass of water, my bottle of water	 {ni-} + -nipîm-
- ninîkânîm	 NDI-1	 my future	 {ni-} + -nîkânim- + /-ihk/
- nipêminak	 NDI-?	 my shin, my calf	 {ni-} + -pêminak(w)-
- nipîhtawâwikanân	 NDI-1	 my spinal chord	 {ni-} + -pîhtawâwikanân-
nisikosê!	 NDA-1	 aunt!, cross-aunt!; father's sister!, mother's brother's wife!; mother-in-law!	 {ni-} + -sikos- + {-ê}
- nisikwâkan	 NDI-1	 the back of my knee	 {ni-} + -sikwâkan-
nisisê!	 NDA-1	 uncle!, cross-uncle!; mother's brother!, father's sister's husband!; father-in-law!	 {ni-} + -sis- + {-ê}
- nisoy	 NDI-2	 my tail	 {ni-} + -soy-
nistêsê!	 NDA-1	 older brother!	 {ni-} + -stês- + {-ê}
- nisêkitikom	 NDI-1	 my tangled hair, my knotted hair, my uncombed hair	 {ni-} + -sêkitikom-
nisîmê!	 NDA-1	 younger sibling!	 {ni-} + -sîm- + {-ê}
- nisôs	 NDI-2	 my little tail	 {ni-} + -sôs-
nitawêmâ!	 NDA-2	 cross-sibling! [male speaker:] sister! female parallel cousin!; [female speaker:] brother! male parallel cousin!	 {ni-} + -tawêmâw- - [-w]
nitihkwâ!	 NDA-1	 nephew!, cross-nephew!; son-in-law!	 {ni-} + -tihkwatim- - [-atim] + {-â}
- nitiyinîmak	 NDA-1	 my people, my followers	 {ni-} + -(t)iyinîm-
- nitostikwânim	 NDI-1	 my severed head (used as lodge emblem)	 {ni-} + -(t)ostikwânim-
nitân!	 NDA-1	 daughter!	 {ni-} + -tânis- - [-is]
- nitôsim	 NDI-1	 my boat, my canoe	 {ni-} + -(t)ôsim-
- nitôskinîkîm	 NDA-1	 my young man; my hired man; my servant; my follower	 {ni-} + -(t)ôskinîkîm-
- nitôskinîkîmis	 NDA-1	 my young man, my hired man	 {ni-} + -(t)ôskinîkîmis-
- niyihkwak	 NDA-3	 my glands	 {n-} + -iyihkw- + {-ak}
nêkâ!	 NDA-2	 mother!	 {ni-} + /-kâ/
- nîc-âyis	 NDA-1	 my fellow youngster, my young age-mate; my sibling; my parallel cousin	 {n-} + -îci-ayis-
- nîci-atoskêyâkan	 NDA-1	 my fellow employee	 {n-} + -îci-atoskêyâkan-
- nîci-ayis	 NDA-1	 my fellow youngster; my sibling; my parallel cousin	 {n-} + -îci-ayis-
- nîci-ayisiyiniw	 NDA-2	 my fellow human, my fellow person	 {n-} + -îci-ayisiyiniw-
- nîci-ayisiyinîm	 NDA-1	 my fellow human	 {n-} + -îci-ayisiyinîm-
- nîci-kiskinwahamawâkan	 NDA-1	 my fellow student, my school-mate	 {n-} + -îci-kiskinwahamawâkan-
- nîci-kisêyin!	 NDA-2	 my fellow old man, my co-elder	 {n-} + -îci-kisêyin-
- nîci-kisêyiniw	 NDA-2	 my fellow old man, my co-elder	 {n-} + -îci-kisêyiniw-
- nîci-kîhkâw	 NDA-2	 my aged spouse; my fellow old person; my fellow oldster; my companion of one's old age	 {n-} + -îci-kîhkâw-
- nîci-nahâhkis	 NDA-1	 my brother-in-law	 {n-} + -îci-nahâhkis-
- nîci-nâpêw	 NDA-2	 my fellow man	 {n-} + -îci-nâpêw-
- nîci-nêhiyaw	 NDA-2	 my fellow Cree, my fellow Indian person; my blood brother	 {n-} + -îci-nêhiyaw-
- nîci-nônimâkan	 NDA-1	 my foster sibling; literally: "my fellow suckling"	 {n-} + -îci-nônimâkan-
- nîcisân	 NDA-1	 my sibling	 {n-} + -îcisân-
- nîcisânis	 NDA-1	 my small sibling, my young sibling, my dear sibling	 {n-} + -îcisânis-
- nîki	 NDI-4	 my home, my dwelling, my house	 {n-} + -îk- + {-i}
- nîkis	 NDI-1	 my small home; my cabin	 {n-} + -îkis-
- nîni	 NDI-4	 my bone-marrow	 {n-} + -în- + {-i}
- nîscâs	 NDA-1	 my male cross-cousin; my father's sister's son, my mother's brother's son; my brother-in-law [used by male speaker only]	 {n-} + -îscâs-
- nîskwa	 NDA-4w	 my husband's former wife, my husband's ex ;; [archaic:] my fellow wife, my co-wife	 {n-} + -îskw- + {-a}
- nîstâw	 NDA-2	 my male cross-cousin; my father's sister's son, my mother's brother's son; my brother-in-law; [used by male speaker only]	 {n-} + -îstâw-
- nîtim	 NDA-3	 my cross-cousin of the opposite gender ;; [male speaker:] daughter of my father's sister or daughter of my mother's brother; my sister-in-law (i.e. wife of male sibling or parellel cousin) ;; [female speaker:] son of my father's sister or son of my mother's brother; my brother-in-law (i.e. husband of female sibling or parellel cousin)	 {n-} + -îtimw-
- nîwa	 NDA-4	 my wife	 {n-} + -îw- + {-a}
- nîwahikan	 NDA-1	 my pounded meat	 {n-} + -îwahikan-
- nîwas	 NDI-x	 my sacred pack, my sacred bundle	 {n-} + -îwaT-
- nôhcâwîs	 NDA-1	 my parallel uncle; my father's brother, my mother's sister's husband; my stepfather; my godfather; my "dear father"	 {n-} + -ohcâwîs-
- nôhkomipan	 NDA-1	 my deceased grandmother, my late grandmother	 {n-} + -ohkomipan-
- nôhkomis	 NDA-1	 my uncle, my parallel uncle; my father's brother, my mother's sister's husband	 {n-} + -ohkomis-
nôhkô!	 NDA-1	 grandmother!	 {n-} + /-ôhkô/
- nôhpan	 NDA-1	 my lung	 {n-} + -ohpan-
nôhtâ!	 NDA-2	 father! ;; [Christian:] Heavenly Father!	 {n-} + /-ohtâ-/
- nôhtâwiy	 NDA-2	 my father ;; [Christian:] Heavenly Father	 {n-} + -ohtâwiy-
- nôhtâwîhkâwin	 NDA-1	 my step-father; my godfather	 {n-} + -ohtâwîhkâwin-
- nôhtâwîpan	 NDA-1	 my deceased father, my late father	 {n-} + -ohtâwîpan-
nôsisê!	 NDA-1	 grandchild!	 {n-} + -ôsis- + {-ê}
- ohpan	 NDI-1	 lung; his/her lung	 {o-} + -hpan-
- osoy	 NDI-2	 tail; its tail	 {o-} + -soy-
- osôs	 NDI-1	 tail; its little tail	 {o-} + -sôs-
- otitâmiyawa	 NDI-2	 his/her innards (e.g. of an animal)	 {o-} + -(t)itâmiyaw-
- otânisimâw	 NA-2	 daughter	 /o-/ + -tânis- + /-imâw/
- wîwa	 NDA-4	 his wife	 {w-} + -îw- + {-a}
